SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY 200","13,954.95","14,033.00","13,933.00","13,928.95","14,014.15","-","85.2","0.61","1545323090","67,326.79","14,700.95","12,396.10","0.69","-0.46"
"KALYANKJIL","542.00","577.50","541.25","546.60","572.50","-","25.9","4.74","53915916","3,036.76","617.70","327.05","49.46","-4.66"
"RELIANCE","1,300.00","1,330.30","1,296.10","1,296.60","1,328.80","-","32.2","2.48","18302218","2,418.44","1,611.80","1,253.20","-0.29","-10"
"JIOFIN","247.50","249.95","242.00","235.65","242.70","-","7.05","2.99","95978862","2,357.05","338.60","223.30","-0.12","-23.72"
"BHEL","445.00","446.50","420.30","435.40","421.30","-","-12.7","-2.93","48217882","2,098.97","446.50","205.12","7.41","66.36"
"TECHM","1,540.00","1,585.00","1,527.30","1,510.30","1,570.10","-","59.8","3.96","10632264","1,652.49","1,854.00","1,304.10","7.36","0.41"
"ICICIBANK","1,422.10","1,455.10","1,419.70","1,418.20","1,454.00","-","35.8","2.52","11112550","1,598.32","1,500.00","1,187.60","8.77","2.49"
"FEDERALBNK","328.70","351.00","323.40","326.60","348.00","-","21.4","6.55","44155126","1,506.88","351.00","185.11","7.84","63.7"
"AXISBANK","1,307.00","1,333.00","1,305.00","1,307.60","1,329.40","-","21.8","1.67","11192836","1,483.32","1,418.30","1,042.50","-1.59","14.62"
"HDFCBANK","810.00","823.70","808.50","808.30","820.80","-","12.5","1.55","17415322","1,424.40","1,020.50","726.65","4.28","-17.38"
"INFY","1,105.00","1,116.80","1,092.00","1,082.40","1,094.20","-","11.8","1.09","12547728","1,382.75","1,728.00","982.40","-5.49","-30.9"
"BAJFINANCE","1,044.90","1,058.50","1,037.60","1,037.60","1,055.30","-","17.7","1.71","12882360","1,353.74","1,102.50","787.90","10.11","14.3"
"BSE","3,685.00","3,688.00","3,571.50","3,685.00","3,579.00","-","-106","-2.88","3660561","1,317.71","4,446.80","2,021.50","-10.51","44.61"
"TCS","2,224.80","2,275.00","2,215.10","2,201.00","2,266.00","-","65","2.95","5615138","1,266.60","3,350.00","1,976.80","1.93","-29.39"
"GROWW","206.40","213.64","204.84","205.64","208.18","-","2.54","1.24","49834034","1,042.43","227.20","112.00","4.63","0"
"DIXON","14,499.00","14,580.00","14,192.00","14,507.00","14,300.00","-","-207","-1.43","674412","974.05","18,471.00","9,600.00","11.43","-11.22"
"BHARTIARTL","1,918.00","1,925.20","1,902.70","1,921.80","1,908.00","-","-13.8","-0.72","4715613","901.61","2,174.50","1,740.50","1.72","-1.13"
"SBIN","1,030.60","1,048.00","1,028.30","1,031.20","1,043.20","-","12","1.16","8452780","880.37","1,234.70","786.55","1.63","25.84"
